Player_ID,Avg_Speed_kmh,Max_Speed_kmh,Total_Distance_m,Max_Acceleration,Sprint_Count,Z5_percent
1,14.376,56.024,17.471,3480.0657,20,14.29
2,6.182,12.775,7.513,4172.6972,20,0.0
3,10.369,25.685,13.202,5655.4572,17,4.55
4,6.796,15.61,8.652,4303.0959,29,0.0
5,6.278,16.873,7.992,5198.7436,17,0.0
6,15.533,32.7,11.781,1202.029,12,15.62
7,3.33,7.007,1.156,364.9474,3,0.0
8,9.269,21.873,11.801,6890.8964,19,0.0
9,8.387,17.492,10.678,4896.0675,17,0.0
10,11.597,37.741,13.301,6386.1283,16,10.42
11,9.113,25.233,11.602,5316.9612,17,4.55
12,13.338,34.445,16.982,4721.9908,15,9.09
14,16.319,46.542,18.799,5607.6138,19,20.2
15,10.3,12.686,2.98,427.2502,4,0.0
16,15.866,40.476,20.2,4540.8612,22,9.09
17,12.118,21.592,11.921,6015.0928,17,0.0
18,11.058,24.186,14.078,5319.0681,25,0.0
19,11.494,46.492,14.271,6222.5629,20,4.81
20,12.349,41.39,15.722,4643.6077,24,4.55
21,9.351,20.422,3.705,608.4773,8,0.0
22,14.947,28.576,18.663,4207.6869,26,18.87
39,5.969,11.218,3.454,3599.2582,12,0.0
42,0.0,0.0,0.0,3381.7005,4,0.0
43,0.0,0.0,0.0,971.3787,1,0.0
49,11.39,15.048,2.619,4613.9973,4,0.0
59,0.0,0.0,0.0,83.7009,0,0.0
75,0.0,0.0,0.0,-69.5752,0,0.0
120,0.0,0.0,0.0,380.5556,1,0.0
138,0.0,0.0,0.0,0.0,0,0.0
162,0.0,0.0,0.0,12.6852,0,0.0
203,0.0,0.0,0.0,163.3611,1,0.0
228,21.195,24.501,2.491,2132.5918,2,0.0
232,0.0,0.0,0.0,-2.7898,0,0.0
419,0.0,0.0,0.0,106.9695,1,0.0
426,0.0,0.0,0.0,193.2824,1,0.0
432,0.0,0.0,0.0,3.5232,0,0.0
447,0.0,0.0,0.0,436.1686,1,0.0
461,0.0,0.0,0.0,805.0987,1,0.0
469,0.0,0.0,0.0,560.3227,0,0.0
474,152.513,165.419,17.652,623.893,0,100.0
480,0.0,0.0,0.0,289.2172,0,0.0
491,0.0,0.0,0.0,728.8997,2,0.0
496,0.0,0.0,0.0,231.7649,0,0.0
514,0.0,0.0,0.0,444.982,0,0.0
521,21.284,21.284,1.232,6786.8103,0,0.0
571,12.229,27.831,9.766,3415.4762,13,7.25
572,11.596,19.303,7.382,3577.0877,15,0.0
573,18.578,33.693,14.837,2198.1841,9,28.99
574,11.656,21.483,9.309,2796.0578,12,0.0
575,9.464,15.642,7.558,2438.4543,7,0.0
576,8.002,17.859,6.39,3073.261,15,0.0
577,17.414,28.776,13.907,4068.6706,15,36.23
578,11.441,28.479,9.137,2813.5082,9,7.25
579,9.228,19.109,7.37,3353.7146,17,0.0
580,12.573,24.268,10.041,3320.9903,15,0.0
582,14.222,22.289,8.231,4165.3401,15,0.0
583,21.06,25.675,12.188,5397.734,11,10.0
585,9.836,18.072,7.855,4042.313,17,0.0
587,16.789,27.51,13.408,4601.9757,15,21.74
589,15.337,27.116,12.248,2528.5275,14,7.25
592,21.208,34.683,15.709,6150.3698,18,23.44
597,17.362,22.968,10.886,6507.2764,15,0.0
598,13.595,18.466,10.071,5572.2374,14,0.0
600,0.0,0.0,0.0,71.3026,1,0.0
601,15.015,17.056,2.577,1024.1654,3,0.0
615,11.619,15.741,3.144,2817.7739,6,0.0
